,content,at,score
13188,Best game,2022-02-05 08:31:56,5
13189,This game makes my phone freaking die that I can't even open it like wth this game gave my phone sum extra dead braincells and now my phone is freaking slow cuz of this stupid game,2021-10-30 04:35:22,1
13190,Good gime,2021-08-06 14:12:02,3
13191,Good,2022-02-16 16:50:28,5
13192,"The game was cool until the troop level donation cap. I understand why it was done, but I feel that should only be applied during war not in multiplayer battles, it ruined the fun giving my friends higher teir troops that i grinded on research for them to only have them get debuffed again. especially when we start a war and get matched up with an even better clan than us, how are the cc troops supposed to push?",2021-04-15 01:24:42,1
13193,an excellent game in all the other games!!!,2022-02-06 13:14:15,5
13194,I'm playing this game before 7 years,2022-01-19 06:41:37,5
13195,Nice 🙂👍,2022-03-14 16:27:23,5
13196,2014-2022 ekhono kheli,2022-02-24 12:40:15,5
13197,My favourite game❤️❤️,2022-02-20 07:37:16,5
13198,Good and enhanced the skill,2021-12-14 01:39:22,4
13199,It's not opening in me phone,2022-01-17 04:49:07,1
13200,bengsin pepek,2021-09-29 18:37:39,1
13201,"Very good game I just miss global chat I meet lots of people on there that I liked chatting with, but now that option us there no longer their.",2021-04-12 12:36:13,3
13202,This game is not opening in my phone 1 gb ram,2021-03-29 07:20:19,1
13203,Supper game it was so nice game,2021-01-20 00:50:05,1
13204,"Really good game, nice for brain development",2022-02-16 23:10:43,5
13205,Nice game,2021-04-29 10:45:40,1
13206,I also feedback same for hay day and for clash of clans that pls try too add day and night . Thanks,2021-08-30 17:49:35,3
13207,I kept getting update notification in my loading screen but when i open the Play Store there's no update. So I'm stuck in a never ending loop. Fix it please.,2022-02-16 15:09:10,3
13208,Bill from support is really useless! Only excuses about a broken game mechanic...,2020-12-13 15:25:42,1
13209,😍😍😍😍👌👌👌👌,2022-03-03 16:31:02,5
13210,"Please I need 1,000,000",2021-08-25 09:21:25,1
13211,👍🏼,2022-03-15 02:54:17,5
13212,top,2022-02-16 13:42:47,5
13213,Your Games r really good but u guys will never get something😠😠😠 I gave it a 4 star be cuz u guys r 2 greedy The price of every item upgrade is 2 much after town hall level 6😒😒that is y many people dislike this a lot A lot A lot Plz decrease the price in builder base and home village plzplzplzplzzzzzz,2021-10-02 12:31:04,4
13214,Notloosfam,2022-02-16 23:49:43,5
13215,Nice 1,2021-06-15 11:38:28,4
13216,Nice,2022-02-25 18:09:23,4
13217,Maka lagot Kay sigeg update,2022-03-03 09:32:25,4
13218,Actually this game is Pretty good 😊,2022-01-11 12:53:59,4
13219,Super,2022-01-31 14:21:26,5
13220,Only want your money,2020-12-08 17:41:48,1
13221,Nice game 👍,2022-02-16 15:40:11,5
13222,Introduce forest hideout and more troops,2022-03-02 14:52:32,4
13223,This is a online game,2021-10-15 03:55:58,3
13224,Good game but very much server issues even after extremely excellent internet speed,2021-12-24 17:47:10,3
13225,Nasser from Chicago fire faiar game,2021-01-12 13:49:57,4
13226,Bring back our grobal chat pls.,2021-09-28 19:43:33,1
13227,I suggest you to bring back global chat again and put asterisk instead whenever there is offensive or inappropriate text.,2022-02-17 02:03:51,4
13228,"supercell is very bad I can't connect to my account because the verification code sent by Supercell doesn't go to my email, please fix it, I want to play",2021-05-12 05:45:36,1
13229,Game.Just a Game,2021-06-15 11:21:48,3
13230,Excellent thanks for supercell,2022-02-20 16:20:44,5
13231,I play this game since 2014. Di kumukupas From Philippines❤️🔥,2022-02-16 15:03:35,5
13232,Not good that much . should change some updates like important voice chat and group attack . have to modify and change something new.i played not good that much author should change some items and need voice chat like pubg.otherwise people will leave on pubg mobile.,2021-05-29 18:51:29,1
13233,I can't even open the game,2020-12-14 08:20:46,1
13234,But I cannot access my clan...login failed pls try again..pls fix it?,2021-09-27 15:14:58,2
13235,"I've been playing this game for quite a few years and it's honestly a very fun game, but after a while there isn't much you can do other than clan games/ clan wars. Which is completely fine since they keep updating the game so that you have more to do. I am very pleased with the game as there are no bugs or glitches at the moment, but I saw no reason for the removal of global chat.",2021-04-12 13:20:29,4
13236,I would give 5 stars if the game wasn't pay to win and the building didn't take 3 years,2022-01-22 10:43:55,4
13237,👍👍👍👍👍,2022-03-10 01:33:25,5
13238,Good game but it's better when global chat will comeback,2021-06-16 02:10:51,3
13239,very good game,2022-02-10 05:16:40,5
13240,"I'm trying to work on my clan but it won't let me, saying there's an upgrade. I go to the app store to upgrade it but that isn't an option",2022-02-16 16:38:13,1
13241,Op,2022-03-09 14:58:36,4
13242,Wow,2021-09-13 09:29:34,4
13243,5 star,2021-09-27 12:24:20,1
13244,nice play clash of clans the fun.,2022-02-25 14:39:54,5
13245,Good game,2021-06-15 16:41:00,2
13246,Interesting,2022-01-27 13:47:01,5
13247,PhyoMin,2021-09-11 13:22:00,1
13248,This app has been keeping me occupied I love the wars and battles the prices on the deals they have for resources and new packs are amazing than they where when I was 12 playing this game they have done a great job upgrading it alot this year!,2022-02-22 13:53:46,5
13249,"Makin lama makin bodoh je game ni, askar dia makin bodoh, banyak ubah2 lagi, pandai tapi bodoh",2021-12-14 07:53:34,1
13250,I've been played Playing this game since it came out. I'm sick and f'n tired of you c#nts nerfing troops. Go get f'd. Seriously you are a money hungry peice of s####. No more!,2021-10-02 04:39:35,1
13251,Supper,2022-02-16 18:07:54,3
13252,Thise game lost our time.very longtime upgrade,2022-03-05 09:37:43,2
13253,I give 5 star becouse i love this. Game,2022-02-07 23:36:22,5
13254,Nice game,2022-03-11 10:31:00,5
13255,Good npaka huyas,2022-01-24 10:35:15,5
13256,What a Game Is it! This game is my favourite and Please Update this every month,2022-02-16 13:44:48,5
13257,Im really enjoy to Play this game😌☺️,2022-02-15 10:22:14,5
13258,It's very easy to play I am playing coc since 2014,2021-06-16 18:31:47,3
13259,Ganda nang app,2021-10-20 22:50:10,4
13260,Nice,2021-06-04 06:59:37,2
13261,The game is excellent and we create our own buillding,2022-01-31 10:14:14,5
13262,വാഴ game kollull don't install please gay's play free fire 🔥 an enjoy gay's,2021-10-29 16:34:16,1
13263,I don't like supercell ID system Because i have lost my account someone link my acc with other supercell ID 😓,2021-06-16 16:41:11,1
13264,Good game,2021-08-29 20:45:11,4
13265,Good,2021-05-30 06:11:51,1
13266,🥰🥰🥰🥰,2022-02-17 01:25:37,5
13267,Supercell's customer service is terrible,2021-10-28 02:20:25,1
13268,Decent game grafics could be better,2022-02-16 20:09:13,5
13269,"The game could be good, but their matching algorithm is the worst I have ever seen. I just upgraded to TH 11 and they have started to show me TH12 max and 13 bases. Whoever plays knows that from TH9 and above, it's impossible to get even one star from the upper ths. I don't know if it's a problem or they intentionally designed it that way sothat people'd get frustrated and buy gems to quickly upgrade everything. But for us who are not willing to pay, we get tired of searching thru bases and quit",2021-03-28 06:44:15,1
13270,Super game man,2022-02-16 18:38:50,5
13271,Very good,2021-05-22 11:50:49,4
13272,Nice,2021-09-28 10:29:20,4
13273,Sax xxxxxxxxxxx,2022-01-30 10:42:57,1
13274,"Igudghotr six Eric fix so do pick k ai so do an yes I'd ek is ek kiss chokh nice of of to ICC kiss kiya kya Jess is is is is Beijing broken kiss niaz korun miss kiss Jess vines shoes see all well see see see all well to wo aap woo woo woo woo all XL all well woo woo woo woo all all all all all all so all all woo woo woo woo woo woo woo gambler LCL all go FL so all dk slams 000/}) to Dropbox j Bell to in all na free to, so all TV XL we will in RBI ECU tce jump free kit CC kuchh kiss crying ittadi",2021-05-05 07:05:41,3
13275,Thank you for adding extra life to attack back to back by Hero. Waiting for that since long ago.,2022-02-17 02:56:28,5
13276,Nice,2022-01-20 19:03:11,5
13277,Fun,2022-02-12 10:15:56,5
13278,This is very bad game,2020-12-21 13:29:06,1
13279,You're celebrating International womens day even after 2 days have passed since that day. And do you celebrate international MENS day in same way as you celebrate international womens day? International Mens Day is on 19 November by the way.,2022-03-10 12:32:58,1
13280,How nice to play again,2022-02-19 01:31:28,5
13281,Cannot revenge attack since the update...,2021-04-19 20:00:44,1
13282,i love this mobile game because im playing this game since 2017 and until now i still paying 🙂🙂😛😜,2022-02-17 05:31:34,5
13283,Knowledgeable game,2022-01-29 17:47:47,5
13284,Fantastic game ♥️,2022-01-17 13:35:08,3
13285,It's not good APK Because my id is Lost,2022-02-17 12:47:30,4
13286,Great game for playing long time,2022-02-16 13:37:10,5
13287,Still love you coc,2022-02-17 05:38:04,5
13288,It makes me cool so I will play this till end,2022-02-25 16:51:11,5
13289,nice games,2022-02-16 15:48:03,1
13290,global chat..please bring back global chat..hurmm,2021-12-07 07:18:23,3
13291,My coc is crash,2021-04-12 12:18:11,1
13292,Updates should be improved,2021-12-26 02:40:53,1
13293,Wast,2021-09-24 02:34:11,1
13294,Good game,2021-09-12 23:46:06,4
13295,Nice game,2021-03-10 11:22:23,4
13296,بە رحمت بی,2022-02-17 18:43:07,5
13297,One of the best game iam playing from past 8 years..,2022-02-18 18:20:33,5
13298,"Played for a long time,just ok",2021-06-15 16:20:01,1
13299,"Unbalanced by excessive splash above TH12, rendering many troops unusable, hence super troops being added at an additional in game cost. The scattershots are excessive in damage, range, and actual # of troops hit per volley. Unplayable!",2021-08-24 04:10:49,1
13300,mmm,2020-12-10 08:00:33,1
13301,May zaim,2022-02-16 20:33:52,5
13302,pt65,2021-05-11 07:24:45,2
13303,"Lots of update, waste my time 😔 Has updated, open want update more.. wth?",2021-09-27 12:42:02,1
13304,Please add Malaysia Flag🙏🏻,2021-12-29 17:40:32,3
13305,My first game I will ever download in android mobile in 2014 . But I have lost my th 12 max id .,2021-09-27 06:04:18,4
13306,I like,2022-01-08 16:44:49,1
13307,Noice,2021-12-30 09:49:42,4
13308,Its a good game but a lot of cache data please fix it,2021-03-28 14:29:20,2
13309,Taking too much time for upgrade,2021-10-04 18:25:29,1
13310,Ggf,2021-08-10 02:45:08,1
13311,Good game,2022-02-20 19:27:44,5
13312,Not bad,2022-02-16 14:13:43,5
13313,now a days there some bug apears to the game.........when i go to attack and click the next bottom for some times there are appears a sign........,2021-03-30 13:33:52,1
13314,Ooo,2021-10-06 03:37:00,3
13315,It would be good if you could use maxed out builder base resources in main village.,2021-06-15 14:00:18,4
13316,This game is awesome,2022-03-02 03:06:10,5
13317,Network problem hota ha to war nahi ho pati,2021-03-26 08:51:05,3
13318,Butter game ok 🙄🙄🙄,2022-02-16 14:07:00,2
13319,Vvvvvvv .Best game,2022-02-17 15:03:25,5
13320,Crashes alot,2021-03-22 22:09:46,1
13321,its good,2021-09-18 07:36:47,3
13322,"Game tells you to update, when you click update it brings you here with no option to update",2022-02-16 15:24:46,1
13323,The best gaming mobile in world🏅🎉🎊,2022-01-11 11:39:49,4
13324,It is a nice game,2022-02-16 14:10:52,5
13325,Absolutely live the gane but the match making system for attacks is screwed im town hall 9 and in crystal 3 and i get town hall 10's and 11's please kindly fix this,2021-03-28 14:08:17,4
13326,Super game,2022-03-03 02:47:22,3
13327,I lost my account and when I contact support they have banned my id for 31 days😠,2022-02-08 12:53:49,1
13328,Good game but town house takes time to upgrade,2021-09-07 08:23:26,4
13329,Andrewcastillo,2021-03-27 00:03:13,1
13330,Nice,2022-02-19 17:51:03,5
13331,Best game ♥️♥️♥️,2022-02-16 14:05:24,5
13332,I just bought builder pack..my money is already debited from my account ..but i dont receive anything.. help!,2021-08-30 20:16:19,1
13333,Such boring game that takes alot of time in building the town and at the end there is an update for TH making the game ridiculous,2021-09-27 13:54:50,1
13334,"nice game i will advice everyone to install it. It's a best strategy based game , but the only thing I hate is the time it's take. It's like u can just play it for only half or 1 hour. Just attack and put any building on upgrade and leave the game.",2021-03-12 02:05:06,4
13335,Plz add more troops and new items,2022-02-09 11:56:42,5
13336,Adding an option to practice attacking your own base would be great. Also the option to pull or switch an army unit / spell out of your active troops to your queued army and visa versa.,2022-02-16 13:20:24,5
13337,Its a nice game,2021-06-16 01:48:19,4
13338,Hh,2021-07-24 02:00:14,4
13339,"Этот е6аный клэш вые6ал все мои мозги, постоянно вылетая во время атаки",2021-03-07 18:28:48,1
13340,"After the new uodate this game is crashing like crazy! I cannot even open the game, it get stucks forever in the loading screen and you will be able to hear the BGM...I've been playing this game for more than 5 years and I have 16 account's...I've tried every way to remove this bug, uninstalling then reinstalling, removing cacheand data, force stop, rebooting my device, and I even contacted help and support! But this problem is still going on all my 3 devices! Please supercell fix this Bug!😭😭",2021-05-27 04:35:27,1
13341,I Like this game,2022-03-08 05:07:25,5
13342,It always disconnecting even my internet was stable. Fix it I can't play fairly.,2022-02-26 11:40:25,1
13343,It is fun,2022-03-07 02:35:07,5
13344,Good but addicting,2021-08-17 01:18:40,4
13345,No more comments,2021-06-15 17:54:12,1
13346,Failed on Android numerous times.,2021-07-18 06:16:46,1
13347,Super cool game but people who pay in app purchases are better then the people who take there time,2021-01-02 16:33:28,4
13348,The systems sets who buys gems the most shall always win. While the non shall miss every attack (bias). Just gave the trophy to those gems buyers...,2021-09-14 14:26:00,2
13349,خز شده,2021-11-20 07:09:44,3
13350,A little boring but good,2021-10-14 02:26:47,4
13351,Now its time to play PUBG .. GOOD BYE.,2020-12-18 14:19:26,1
13352,Yuck,2021-01-05 18:35:56,1
13353,Good,2022-02-16 15:21:01,5
13354,Troops and heroes ai is a big problem for players and pls help millions of players to reach th12 and above fast but not very fast.,2021-04-15 03:13:13,4
13355,Great,2021-12-18 20:40:11,3
13356,very nice game,2022-02-22 13:03:35,5
13357,nice g,2021-05-06 14:04:26,4
13358,Summer almost ended you are late,2021-06-15 19:31:44,1
13359,"The builder base has a way to get resources, giving you a set amount after your three battles and then you have to pay money for only three more battles. Also, in the main base, the later upgrades are rediculously long, I'm halfway to maxing out my townhall and other building and the upgrades are already taking days, meaning I cant enjoy this otherwise meh game for ages, later upgrades take weeks! These made me stop playing before and now I can't remember why I picked it up again.",2021-01-07 14:06:43,1
13360,Great app but the fact the Irish flag is the only one missing from the game is beyond me and this needs to be sorted🇮🇪🇮🇪,2021-04-12 23:31:49,4
13361,This was nice game but it takes lot of time that's why I give 1 star,2021-08-15 02:12:34,1
13362,I wish there was a nepali flag too,2021-05-14 02:53:01,1
13363,It's is fabulous no wrong in it pls be aware of hacker and there is a new update,2022-02-16 16:04:28,5
13364,Nice,2021-09-25 07:05:57,3
13365,Takes forever!!!,2021-01-24 22:06:48,4
13366,Good strategic game... 👍,2021-09-27 12:33:39,4
13367,Best game ever I played,2022-03-09 04:27:32,5
13368,Plz open my game,2022-02-05 07:24:52,3
13369,it takes too many days to upgrade,2021-09-27 21:55:21,1
13370,Great GAME,2021-04-22 13:32:14,4
13371,GAMENYA BAGUS,2022-03-07 13:53:28,5
13372,It's a nice game but I don't like 24hours to wait to make a challenge after editing my village and I 🤔🤔 think it is not a good idea,2021-09-01 07:50:52,4
13373,Very very interesting game for waste person who has not doing anything 😁🙏🏻,2022-02-17 05:47:41,5
13374,Load FAST,2021-12-05 08:56:53,4
13375,Still need some updates and private chat option...,2022-02-24 02:42:16,5
13376,Its fun it takesnur mind of things,2021-03-03 02:28:03,4
13377,Bal,2021-04-14 14:49:16,1
13378,It's good game .. and grafic looks good,2021-09-06 04:53:48,4
13379,Nice game but taking lots of time to upgrade,2021-11-17 08:28:11,4
13380,Place Give MI 1000000 JAMPESH,2022-02-16 14:43:09,2
13381,Maru game eka,2021-08-18 06:33:35,1
13382,Very nice game 👍,2022-02-18 01:10:25,5
13383,"Fun game that can actually be nearly F2P. But like most F2P games, the vendor just continuously moves the goalposts.",2021-09-28 01:34:31,3
13384,one of the best game i have played,2022-02-16 14:12:58,5
13385,Always lagging and since a week ago it's been crashing and now can't even open it . I've had the same problem with clash royale and deleted it .I don't want to uninstall coc so please fix this Can't open it now Edit:Every week it crashed for a whole day then returns to normal to still crash again on the next week,2022-02-25 19:04:36,2
13386,"Application didn't start when opened, everyone time I have to play have to reinstall.",2021-01-17 05:12:17,1
13387,Good game,2022-02-11 16:50:50,5
13388,nice,2021-11-03 17:19:05,2
13389,This game is not opening fast... It's stuck at the loading,2021-01-06 13:17:32,1
13390,Great game,2022-02-16 13:41:38,5
13391,I like it's,2021-04-18 01:30:42,3
13392,Awesome,2022-02-17 13:27:56,5
13393,Its pretty fun 😌😌,2020-12-22 16:58:23,4
13394,Please bring back the global chat please,2021-06-12 05:09:02,3
13395,In my phone it's lags so much plesss fix it,2022-02-23 02:28:01,4
13396,"Great game, but u need to change the trophy system. I swear people with a higher townhall and trphy count than me make me lose 33 trophies and i only gain the 4 or 15 max when i 3 star while attacking someone my own townhall.",2022-01-27 22:54:33,3
13397,Good game.. But the upgrade time is too much.who will wait for something to upgrade 2 days or so.e time 15 days.you have to look into this problem,2021-07-04 09:10:09,3
13398,This game sucks and it is pay2win hate this game,2021-09-19 04:45:18,1
13399,"Get attacked anytime, even when dont attack. Level cap on other stuff, boring... Needs to be vamped up. Toooooo slow.",2021-06-27 21:25:58,1
13400,Best game ever,2022-03-03 10:15:47,5
13401,Mere ik id sa game on ni ho raha ha Q ..?,2021-03-09 05:51:08,2
13402,I like this game,2021-06-16 07:37:22,4
13403,Fgs,2022-01-31 17:16:10,5
13404,nice game,2021-04-12 12:50:09,4
13405,Love it,2022-03-01 13:42:45,5
13406,I can't change my account supercell id,2022-03-09 10:13:26,2
13407,Very good but upgrading takes long,2021-11-04 08:09:03,4
13408,Bot mc game lol,2021-11-27 06:24:49,1
13409,oo,2022-02-16 16:52:12,5
13410,Vivek Yadav ri gi... Mast game ha Very nice 👌,2021-06-26 17:29:06,4
13411,Bring Back Global Chat,2022-01-01 04:47:07,1
13412,Very interesting game 🎮,2022-02-22 11:19:17,5
13413,This game is like a ghost town. Why ? Because this is only game that has no world chat😂! That's why this game makes so boring for me and also other! Lot of my friend and I quit because of that system . Maybe if you are boring ppl this game is best for you wahahahahaha crazy game,2021-05-26 02:10:52,1
13414,I love it☺️,2022-02-23 09:28:25,5
13415,i just loved this game,2022-02-16 19:50:14,5
13416,I still remember playing this game it's been 3 or 4 years maybe good old time🙂,2022-03-01 13:17:06,5
13417,Sexy game,2021-06-17 12:14:44,2
13418,"Nice Game by Supercell. I think this is the most growing app which Supercell had Made. But, I have a lot of elixers and gold and also dark elixer and there are more which i have stored in clan castle. I request Supercell to include the trade option so It will be the best game player after ban of Free Fire.",2022-03-10 11:32:52,4
13419,Nice game,2022-02-17 02:24:47,5
13420,Having fun,2022-01-01 18:21:11,4
13421,"chhink such ek ug ab interval in e men zinc ram k chh g,r",2021-06-24 18:49:20,4
13422,maganda sya,2021-04-12 22:24:40,1
13423,New version bears some server problem so bad,2020-12-09 03:15:59,4
13424,i lav this game,2022-01-18 06:37:01,5
13425,Kenapa tak leh masuk.,2022-03-12 03:47:05,1
13426,so good,2022-03-05 23:52:56,5
13427,It opens then it quickly went back to home this app is so stupid,2021-01-13 12:22:08,1
13428,Bad game,2020-12-12 15:30:00,1
13429,Please slove autoback problem,2021-07-16 03:09:27,1
13430,Love this game i play this game since 5 years,2022-02-17 05:03:11,5
13431,Super game.,2021-09-27 14:14:25,4
13432,This game for any person play,2021-05-10 22:58:21,4
13433,Good,2022-02-06 09:51:10,2
13434,This game is amazing very interesting very strategic game is this its very good but i have given only 4/5 stars because when i first time download it i am on silver after then i deleted this game my id was deleted please solve that problem,2021-10-06 09:13:46,4
13435,good app,2021-04-12 12:18:54,1
13436,I am not able to Open COC,2021-04-28 04:08:07,1
13437,But i will give you 5 star if we can share loots like gold elixer dark elixer.Thats what we wanted plz plz do this thing i would be pleasure😍😍👨,2021-06-25 18:50:50,4
13438,good,2022-01-18 23:38:02,5
13439,It's sooooo good I like it so much my fav game. But there is one thing that I don't want. if I open the app it back. just plss fix it plss,2021-12-27 15:03:27,2
13440,Absolutely great game,2021-10-21 16:53:34,4
13441,Been playing it since it came out. Now it wont load on my phone at all. It will load on my tablet but takes forever.,2021-09-20 12:44:32,1
13442,Jiuz,2020-12-19 02:33:09,1
13443,I like this game and it's not that comprise but when you go farther it becomes hard,2021-06-15 11:35:49,4
13444,Nice,2022-01-25 06:13:58,2
13445,suS,2022-02-16 14:46:16,5
13446,Best,2022-01-29 12:56:03,5
13447,Thus is so expensive,2020-12-09 09:34:07,3
13448,Unhappy Your Update Th14 Because Donation System Is Unfair And nonsense Clan Level 10 Plus Level 2 donate Troops. And Search System Unfair I am Th11 Search Enemy Th12 Unfair,2021-04-12 16:00:43,2
13449,Great game.,2021-06-08 10:52:57,3
13450,Please update a setting to pause the all special portions fro boosting.half of the times it wasted .In clan war league higher base are matching with lower based clan .please update this things in clash of clans to make better . thank you,2022-02-24 17:19:59,5
13451,Tagal mag update,2021-06-15 11:54:10,1
13452,Like it⁸,2022-02-25 14:18:17,5
13453,Very nice,2021-04-12 13:34:14,4
13454,Basta guds to,2022-01-27 01:18:30,4
13455,It doesn't open after playing it after just 1 day. And it will log out of the game when I am attacking someone on purpose.,2021-12-29 10:28:17,2
13456,Good game for mindset,2020-12-15 01:46:58,4
13457,I am not able to start this game,2022-03-01 11:40:36,1
13458,Good game to test your patience 👌,2021-06-15 14:11:42,3
13459,Yay,2022-03-14 02:56:40,5
13460,🤌👏,2022-03-01 22:25:01,5
13461,The only problem is that it's a pay to win game,2021-09-27 11:39:35,4
13462,Awsom,2021-06-15 16:33:57,3
13463,Excellent,2021-04-14 04:33:52,4
13464,It was good and I have it a few years ago and I played it again because it's so much fun to play now I play it with my family and friends and we will having so much fun,2022-02-17 12:16:43,5
13465,Super game 🎯,2022-02-16 15:42:26,5
13466,nice game,2021-07-04 05:08:17,4
13467,Clash of Clans is a fun game,2021-01-27 03:08:25,4
13468,Nice,2021-06-15 10:13:28,4
13469,Dj alome,2021-07-19 05:55:24,1
13470,Very colour full and mass,2022-02-16 15:52:13,5
13471,Zabzardast,2022-03-13 05:30:37,5
13472,"Plz bring back world chat ,that was the only way to find people around us and to join their clan....now joining a clan is too hard...i have been playing this game about 8yrs (edited 6yrs-8 yr)",2022-03-10 05:18:07,3
13473,Been playing for years and on the latest update donation's lvl depend maybe on TH lvl? It's making the clan perks useless.🙁,2021-04-13 08:20:00,3
13474,Bring back global chat,2021-01-09 16:56:55,4
13475,Love it. Downloaded new update. Pressing playing or pressing my app brings me back here. Endless loop yall got me trapped in for the past 10 minutes.....,2021-06-15 18:20:16,1
13476,This game is good but don't start in time if may got time so I have give four star,2021-01-19 11:05:55,4
13477,It's amazing..,2021-06-15 18:07:49,4
13478,WASUP GEYS TADOY WE GON PLEY COCK!1!1!!1!1!1,2022-02-23 05:33:59,5
13479,Update not working I can't get back to my game,2021-09-28 04:14:01,1
13480,It was not start fast and very lag,2021-05-23 15:43:52,1
13481,Need more improve.,2021-05-14 15:54:53,2
13482,The game is best game in the world,2022-02-09 14:26:40,5
13483,Its good game but only one thing is not good builder are very slow,2021-06-15 09:02:17,4
13484,Need some more updates,2021-02-04 03:20:38,4
13485,😅,2022-02-17 06:21:05,3
13486,Bakwas,2021-10-26 04:02:51,1
13487,An og game that's only a-little predatory with its micro transaction,2020-12-11 03:22:53,4
13488,Just the best game I would like too see more items in the game too build keep up the good work,2022-03-03 00:47:57,5
13489,Very good game and mind infect no tensen,2022-02-28 02:08:40,5
13490,All goods,2022-03-08 13:47:07,5
13491,Best game ever,2022-02-05 03:33:33,1
13492,Game no.1 personal opinion,2022-02-16 16:32:15,5
13493,Very nice,2021-07-04 16:49:53,3
13494,Good,2022-02-20 04:26:28,5
13495,"Best game in the world would give you 100 stars if possible.Yeah but atleast add ""country"" Flags for sure its not good not to have your country Flag on the game",2021-09-11 21:44:55,1
13496,When townhall 13 come,2021-07-10 17:07:41,3
13497,This game is so bad. If you want something to be done upgrading before you die you have to spend like a million gems. And you barely get any gems. If this isn't pay to win I don't know what is.,2021-02-24 15:03:39,1
13498,"if I lost my connection while attacking, I need to reload my game and lose my progress, please make compensation for this",2021-05-04 19:09:44,2
13499,I hate the app so much 😡😡😡😫🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮,2021-05-09 13:31:27,1
13500,I think the game should low their grfix Because most of coc players are with low level divace.. if supercell add more grfix then they won't be able to play it,2022-01-09 03:02:25,4
13501,Nice game,2022-03-11 21:45:34,5
13502,The biggest problem during attack 8s maintenance break let the attack be completed or if their is a break so pls do not decrease our trophies or do not let our army be used,2021-05-01 08:41:56,4
13503,Takes lot of time to upgrade resources.. main drawback,2021-09-28 02:28:57,3
13504,Good,2021-05-02 06:53:16,2
13505,Mera clash of clans stopped kyu ho gaya hai,2021-04-11 08:27:12,1
13506,This is VERY exciting game,2021-01-07 16:23:32,4
13507,Good game,2022-02-28 02:20:08,5
13508,Old memories,2022-02-01 03:05:52,5
13509,No Marketing system in this game bcs every max base lose black elixer coin and elixer etc,2021-10-18 15:33:40,1
13510,in the game it suddenly go out of game. my deviceis j3 pro.you can help me plz😐,2021-12-26 06:27:37,4
13511,After update i can't play. Still now update notic in the game.,2021-06-15 11:25:22,3
13512,Aris ra mara rame daamatet,2021-04-07 07:08:13,4
13513,good,2021-09-29 11:42:33,3
13514,Baaaaaaaaaaaaad gameeeeeeeeeeeee,2021-02-18 06:07:11,1
13515,Trash,2021-12-24 00:00:10,1
13516,Ery poor game in this world,2021-05-23 13:44:17,1
13517,Osam,2022-02-17 02:40:57,5
13518,Even if im always in a personal break i still love to play ❤❤,2022-03-04 19:35:45,5
13519,What type of game is I am opening it and crashes why? Disappointed 😡,2021-12-11 13:27:48,1
13520,Really very good game. But nowadays the troops I received cc does not come with upgrade level in even townhall level 18.,2021-11-12 05:53:40,4
13521,Very nice and enjoy full game.,2022-02-17 04:53:45,5
13522,ok,2021-03-15 17:09:07,1
13523,Nice game,2022-01-30 11:20:40,5
13524,Nice game,2022-02-18 17:38:04,5
13525,Co-leader has to wait for one hour to send another mail also there is character count limit in the mail box. In case if you need to send a bigger mail to your clan mates then you need to wait for the hours to deliver complete and conclusive message. This is really a pathetic restriction.,2021-06-15 11:33:51,1
13526,Good pz ami phon sapot pz coc,2022-01-27 09:05:42,5
13527,I love this app but my only problem is my main account is not sign in in super cell I think Clash Of Clans can you help me on my long time ago account,2022-03-10 03:25:35,3
13528,Very nice game clash fo clans ⛳,2020-12-30 12:40:10,4
13529,"It keeps telling me a new version of the game is available, but when I try to update, nothing happens. Is my phone model no longer supported?",2021-06-15 09:26:20,1
13530,"Post last update ...""Unable the connect with the server Connection error""",2021-06-10 07:11:02,4
13531,Very easy and entertaining,2021-09-08 14:40:50,4
13532,i used topup on this game but i didnt get my gold and gem..,2021-04-03 12:39:51,1
13533,Good,2022-02-10 17:42:39,5
13534,Good,2022-02-15 06:54:37,5
13535,I love this game since I was a kid.,2021-10-21 07:35:39,4
13536,Very good game,2021-07-09 15:40:55,4
13537,"I have played so many games but i didn't got such inderesting game like clash of clan and with so many evens but there is something missing sometimes supercell should give book of hero, book of every, book of building etc. Not all but one after another every month and need less timing for building upgrade. I think supercell should give new tawn hall 10 for builder bass and there should be a clan in builder bass for clan war and it will be so interesting for every players to play more",2022-03-15 19:44:10,5
13538,wow nice battle game,2022-01-27 03:44:25,5
13539,Kebanyakan update,2021-06-18 12:58:22,2
13540,Superb game and i had liked the game,2022-02-13 02:40:23,5
13541,Been playing for 9 years so far have 2 accounts th 11 .,2022-02-18 16:41:51,5
13542,Great,2022-03-03 03:09:29,5
13543,Awesome game,2022-02-16 14:25:28,5
13544,Super,2022-02-18 09:31:33,5
13545,Cool af.,2022-02-17 17:37:56,5
13546,Rabin 123,2021-10-16 05:33:01,1
13547,Good game,2020-12-08 15:41:17,3
13548,Malabar,2021-04-12 17:12:32,4
13549,It's fun until you hit a wall bc of time/resources.,2021-03-13 09:21:29,4
13550,Bring Global chat Or else we leave the game,2021-07-26 10:36:44,1
13551,why cannot recover account with facebook account??..,2022-01-04 10:59:05,1
